"","country_name","country_id","country_text_id","year","v2x_regime","v2x_regime_amb","v2x_regime_string","v2x_regime_amb_string"
"1","Afghanistan",36,"AFG",1789,NA,NA,NA,NA
"2","Afghanistan",36,"AFG",1790,NA,NA,NA,NA
"3","Afghanistan",36,"AFG",1791,NA,NA,NA,NA
"4","Afghanistan",36,"AFG",1792,NA,NA,NA,NA
"5","Afghanistan",36,"AFG",1793,NA,NA,NA,NA
"6","Afghanistan",36,"AFG",1794,NA,NA,NA,NA
"7","Afghanistan",36,"AFG",1795,NA,NA,NA,NA
"8","Afghanistan",36,"AFG",1796,NA,NA,NA,NA
"9","Afghanistan",36,"AFG",1797,NA,NA,NA,NA
"10","Afghanistan",36,"AFG",1798,NA,NA,NA,NA
"11","Afghanistan",36,"AFG",1799,NA,NA,NA,NA
"12","Afghanistan",36,"AFG",1800,NA,NA,NA,NA
"13","Afghanistan",36,"AFG",1801,NA,NA,NA,NA
"14","Afghanistan",36,"AFG",1802,NA,NA,NA,NA
"15","Afghanistan",36,"AFG",1803,NA,NA,NA,NA
"16","Afghanistan",36,"AFG",1804,NA,NA,NA,NA
"17","Afghanistan",36,"AFG",1805,NA,NA,NA,NA
"18","Afghanistan",36,"AFG",1806,NA,NA,NA,NA
"19","Afghanistan",36,"AFG",1807,NA,NA,NA,NA
"20","Afghanistan",36,"AFG",1808,NA,NA,NA,NA
"21","Afghanistan",36,"AFG",1809,NA,NA,NA,NA
"22","Afghanistan",36,"AFG",1810,NA,NA,NA,NA
"23","Afghanistan",36,"AFG",1811,NA,NA,NA,NA
"24","Afghanistan",36,"AFG",1812,NA,NA,NA,NA
"25","Afghanistan",36,"AFG",1813,NA,NA,NA,NA
"26","Afghanistan",36,"AFG",1814,NA,NA,NA,NA
"27","Afghanistan",36,"AFG",1815,NA,NA,NA,NA
"28","Afghanistan",36,"AFG",1816,NA,NA,NA,NA
"29","Afghanistan",36,"AFG",1817,NA,NA,NA,NA
"30","Afghanistan",36,"AFG",1818,NA,NA,NA,NA
"31","Afghanistan",36,"AFG",1819,NA,NA,NA,NA
"32","Afghanistan",36,"AFG",1820,NA,NA,NA,NA
"33","Afghanistan",36,"AFG",1821,NA,NA,NA,NA
"34","Afghanistan",36,"AFG",1822,NA,NA,NA,NA
"35","Afghanistan",36,"AFG",1823,NA,NA,NA,NA
"36","Afghanistan",36,"AFG",1824,NA,NA,NA,NA
"37","Afghanistan",36,"AFG",1825,NA,NA,NA,NA
"38","Afghanistan",36,"AFG",1826,NA,NA,NA,NA
"39","Afghanistan",36,"AFG",1827,NA,NA,NA,NA
"40","Afghanistan",36,"AFG",1828,NA,NA,NA,NA
"41","Afghanistan",36,"AFG",1829,NA,NA,NA,NA
"42","Afghanistan",36,"AFG",1830,NA,NA,NA,NA
"43","Afghanistan",36,"AFG",1831,NA,NA,NA,NA
"44","Afghanistan",36,"AFG",1832,NA,NA,NA,NA
"45","Afghanistan",36,"AFG",1833,NA,NA,NA,NA
"46","Afghanistan",36,"AFG",1834,NA,NA,NA,NA
"47","Afghanistan",36,"AFG",1835,NA,NA,NA,NA
"48","Afghanistan",36,"AFG",1836,NA,NA,NA,NA
"49","Afghanistan",36,"AFG",1837,NA,NA,NA,NA
"50","Afghanistan",36,"AFG",1838,NA,NA,NA,NA
"51","Afghanistan",36,"AFG",1839,NA,NA,NA,NA
"52","Afghanistan",36,"AFG",1840,NA,NA,NA,NA
"53","Afghanistan",36,"AFG",1841,NA,NA,NA,NA
"54","Afghanistan",36,"AFG",1842,NA,NA,NA,NA
"55","Afghanistan",36,"AFG",1843,NA,NA,NA,NA
"56","Afghanistan",36,"AFG",1844,NA,NA,NA,NA
"57","Afghanistan",36,"AFG",1845,NA,NA,NA,NA
"58","Afghanistan",36,"AFG",1846,NA,NA,NA,NA
"59","Afghanistan",36,"AFG",1847,NA,NA,NA,NA
